Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Lucas Arruda Title Untitled Description LUCAS ARRUDA,Untitled,oil on canvas,2012,7,9.5,17.8,24.1,Christie's Hong Kong,"Monday, May 29, 2023",00328,"600,000 - 900,000 HKD (76,644 - 114,967 USD)","882,000 HKD (112,668 USD)"
Lucas Arruda Title Untitled Description Lot,Untitled,oil on canvas,2015,9.5,12,24.1,30.5,Sotheby's New York,"Friday, May 19, 2023",00620,"100,000 - 150,000 USD","330,200 USD"
Lucas Arruda Title Sem t,Sem título,"oil and wax on paper, in artist's frame",2010,9.5,11.6,24.1,29.5,Phillips New York,"Tuesday, May 16, 2023",00375,"40,000 - 60,000 USD",Bought In
Lucas Arruda Title Sans titre,Sans titre (from the Deserto-Modelo series),oil on canvas,2013,19.9,23.8,50.5,60.5,Christie's Paris,"Wednesday, November 30, 2022",00002,"100,000 - 150,000 EUR (103,199 - 154,798 USD)","252,000 EUR (260,061 USD)"
Lucas Arruda Title,⽆题/Untitled,oil on canvas,2017,9.6,11.8,24.5,30,"Yongle Auction Co., Ltd.","Tuesday, July 26, 2022",02090,"1,600,000 - 1,800,000 CNY (236,539 - 266,106 USD)","2,185,000 CNY (323,024 USD)"
Lucas Arruda Title,⽆题,oil on canvas,2014,11.8,14.6,30,37,Cuppar Auction,"Sunday, July 24, 2022",00158,"1,200,000 - 1,800,000 CNY (177,754 - 266,631 USD)","1,700,000 CNY (251,818 USD)"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2012,9.6,12,24.4,30.4,Phillips London,"Friday, March 4, 2022",00129,"60,000 - 80,000 GBP","113,400 GBP (149,821 USD)"
Lucas Arruda Title Untitled Description LUCAS ARRUDA,Untitled,oil on canvas,2013,12,14.6,30.5,37,Christie's Hong Kong,"Thursday, December 2, 2021",00112,"900,000 - 1,500,000 HKD (115,482 - 192,470 USD)","1,875,000 HKD (240,588 USD)"
Lucas Arruda Title Untitled from the series Deserto,Untitled from the series Deserto-Modelo,oil on canvas,2013,19.7,19.7,50,50,Phillips in Association with Poly Auction,"Tuesday, November 30, 2021",00058,"1,000,000 - 1,500,000 HKD (128,256 - 192,384 USD)","3,780,000 HKD (484,808 USD)"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2013,27.6,32.5,70,82.5,Phillips London,"Friday, October 15, 2021",00013,"120,000 - 180,000 GBP","352,800 GBP (485,348 USD)"
Lucas Arruda Title Sem titulo Description Lucas Arrudab,Sem titulo,,,,,,,,,,,
on the revers Medium oil on canvas Year of Work,,oil on canvas,2011,27.6,35.4,70,90,Sotheby's New York,"Thursday, September 30, 2021",00259,"120,000 - 180,000 USD","189,000 USD"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2014,9.5,11.7,24.1,29.8,Phillips New York,"Tuesday, September 28, 2021",00018,"80,000 - 120,000 USD","176,400 USD"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2012,7,9.5,17.8,24.1,Phillips New York,"Thursday, June 24, 2021",00362,"80,000 - 120,000 USD","107,100 USD"
Lucas Arruda Title Untitled from the series Deserto,Untitled from the series Deserto-Modelo,oil on canvas,2012,15.9,15.9,40.3,40.3,Phillips Hong Kong,"Tuesday, June 8, 2021",00012,"1,000,000 - 1,500,000 HKD (128,867 - 193,301 USD)","3,213,000 HKD (414,051 USD)"
Lucas Arruda Title Untitled,Untitled (from the Deserto-Modelo series),oil on canvas,2012,16,19.5,40.6,49.5,Christie's Hong Kong,"Tuesday, May 25, 2021",00216,"900,000 - 1,500,000 HKD (115,939 - 193,231 USD)","3,000,000 HKD (386,463 USD)"
Lucas Arruda Title Untitled Description Lucas Arrudab,Untitled,oil on canvas,2013,23.6,23.6,60,60,Sotheby's New York,"Thursday, May 13, 2021",00415,"250,000 - 350,000 USD","252,000 USD"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on wood,2013,11.3,11.7,28.6,29.8,Phillips London,"Thursday, April 15, 2021",00016,"60,000 - 80,000 GBP (82,690 - 110,253 USD)","170,100 GBP (234,426 USD)"
Lucas Arruda Title Untitled Description Lucas Arruda b,Untitled,oil on canvas,2014,11.8,14.6,30,37,Sotheby's London,"Friday, March 26, 2021",00414,"70,000 - 90,000 GBP (96,565 - 124,155 USD)","176,400 GBP (243,343 USD)"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2016,13.9,14.5,35.2,36.8,Phillips New York,"Wednesday, March 3, 2021",00021,"100,000 - 150,000 USD","289,800 USD"
Lucas Arruda Title Untitled Description,Untitled,oil on canvas,2013,19.7,23.6,50,60,Phillips in Association with Poly Auction,"Thursday, December 3, 2020",00029,"1,500,000 - 2,500,000 HKD (193,515 - 322,526 USD)","3,780,000 HKD (487,660 USD)"
Lucas Arruda Title Ozana Description Lucas Arrudab,Ozana,oil on linen,2011,13,16.5,33,41.9,Sotheby's New York,"Wednesday, November 18, 2020",00212,"60,000 - 80,000 USD","75,600 USD"
Lucas Arruda Title UNTITLED Description LUCAS ARRUDAb,UNTITLED,oil and wax on canvas,2011,9.5,12,24.1,30.5,Sotheby's New York,"Friday, October 2, 2020",00207,"100,000 - 150,000 USD",Bought In
Lucas Arruda Title Untitled Description LUCAS ARRUDA,Untitled,oil on canvas,2013,19.8,19.8,50.2,50.2,Christie's Online,"Thursday, July 30, 2020",00004,"100,000 - 150,000 GBP (130,361 - 195,541 USD)","118,750 GBP (154,803 USD)"
Lucas Arruda Title SEM T,SEM TÍTULO,oil on canvas,2016,15.9,18.3,40.5,46.5,Sotheby's London,"Tuesday, July 28, 2020",00006,"100,000 - 150,000 GBP (129,466 - 194,199 USD)","212,500 GBP (275,116 USD)"
Lucas Arruda Title Untitled Description signed and dated,Untitled,oil on canvas,2014,9.6,12,24.4,30.5,Phillips New York,"Thursday, July 2, 2020",00003,"80,000 - 120,000 USD","350,000 USD"
Lucas Arruda Title Untitled from the series Deserto,Untitled from the series Deserto-Modelo,oil on canvas,2012,19.6,19.8,49.8,50.2,Phillips New York,"Thursday, July 2, 2020",00205,"60,000 - 80,000 USD","100,000 USD"
Lucas Arruda Title UNTITLED Description LUCAS ARRUDAb,UNTITLED,oil on canvas,2012,23.7,31.7,60.3,80.6,Sotheby's Online,"Thursday, May 14, 2020",00010,"150,000 - 200,000 USD","350,000 USD"
Lucas Arruda Title Untitled,Untitled (from the Deserto-Modelo series),oil on canvas,2014,11.9,14.6,30.1,37.1,Phillips London,"Friday, February 14, 2020",00102,"60,000 - 80,000 GBP (78,206 - 104,275 USD)","300,000 GBP (391,032 USD)"
Lucas Arruda Title Untitled Description Lucas Arruda,Untitled,oil on canvas,2011,9.4,11.8,24,30,Christie's London,"Thursday, February 13, 2020",00109,"50,000 - 70,000 GBP (65,257 - 91,359 USD)","187,500 GBP (244,714 USD)"
Lucas Arruda Title UNTITLED,UNTITLED (FROM THE DESERTO-MODELO,oil on canvas,2018,11.9,14.6,30.2,37.1,Sotheby's New York,"Friday, November 15, 2019",00439,"80,000 - 120,000 USD","312,500 USD"
Lucas Arruda Title Untitled Description,Untitled,oil on canvas,2009,19.7,23.6,50,60,Bolsa de Arte,"Thursday, April 26, 2018",00066,,"30,000 BRL (8,573 USD)"
Lucy Bull Title Untitled,Untitled (Touched),oil on canvas,2017,59.8,48,152,122,Phillips Hong Kong,"Tuesday, November 26, 2024",00173,"1,000,000 - 2,000,000 HKD (128,483 - 256,967 USD)","1,143,000 HKD (146,856 USD)"
Lucy Bull Title A New Dew Description DETAILSLUCY BULL,A New Dew,oil on linen,2019,60,50,152.4,127,,,,"600,000 - 800,000 USD","1,197,000 USD"
Lucy Bull Title Weatherman Description Lot,Weatherman,oil on linen,2019,50,33,127,83.8,Sotheby's New York,"Thursday, November 21, 2024",00414,"400,000 - 600,000 USD","330,000 USD"
Lucy Bull Title Stellar Head,Stellar Head 腦中繁星,oil on canvas,2019,50,60.2,127,152.8,Sotheby's Hong Kong,"Monday, November 11, 2024",00001,"4,000,000 - 6,000,000 HKD (514,403 - 771,604 USD)","5,040,000 HKD (648,148 USD)"
Lucy Bull Title I almost didn,I almost didn't recognize you,oil on canvas,2018,50,33,127,83.8,Christie's Hong Kong,"Friday, September 27, 2024",00209,"2,000,000 - 4,000,000 HKD (257,310 - 514,621 USD)","2,772,000 HKD (356,632 USD)"
Lucy Bull Title,18:50,oil on canvas,2021,70.1,120.9,178,307,Christie's Hong Kong,"Thursday, September 26, 2024",00003,"5,000,000 - 8,000,000 HKD (642,772 - 1,028,436 USD)","18,525,000 HKD (2,381,472 USD)"
Lucy Bull Title,10:00,oil on linen,2021,47,48,119.4,121.9,Sotheby's London,"Tuesday, June 25, 2024",00043,"350,000 - 550,000 GBP (443,599 - 697,084 USD)","900,000 GBP (1,140,684 USD)"
Lucy Bull Title Claps Jaw Description Lucy BullClaps Jawsigned with the artist,Claps Jaw,oil on canvas,2019,32.3,49.6,82,126,Phillips Hong Kong,"Friday, May 31, 2024",00017,"2,800,000 - 3,500,000 HKD (358,056 - 447,570 USD)","3,556,000 HKD (454,731 USD)"
Lucy Bull Title Untitled Description DETAILSLUCY BULL,Untitled,oil on linen,2020,18,10,45.8,25.5,Christie's Hong Kong,"Wednesday, May 29, 2024",00355,"200,000 - 400,000 HKD","478,800 HKD (61,278 USD)"
Lucy Bull Title Untitled Description Lucy BullUntitledsigned with the artist,Untitled,oil on canvas,2019,16,8,40.6,20.3,Phillips New York,"Wednesday, May 15, 2024",00394,"30,000 - 40,000 USD",Bought In
Lucy Bull Title Loving Tongue Description Lucy Bullb,Loving Tongue,oil on linen,2019,50,30,127,76.2,Sotheby's New York,"Tuesday, May 14, 2024",00520,"350,000 - 450,000 USD","762,000 USD"
Lucy Bull Title,16:10,oil on linen,2020,93.1,53.9,236.5,136.8,Sotheby's New York,"Monday, May 13, 2024",00010,"500,000 - 700,000 USD","1,814,500 USD"
Lucy Bull Title Radiator,Radiator 散熱器,oil on linen,2019,50.4,29.9,128,76,Sotheby's Hong Kong,"Friday, April 5, 2024",01508,"3,000,000 - 5,000,000 HKD (383,210 - 638,683 USD)","5,715,000 HKD (730,015 USD)"
Lucy Bull Title Untitled Description LUCY BULL,Untitled,oil on linen,2019,20.9,9,53,22.9,Christie's New York,"Wednesday, March 13, 2024",00310,"30,000 - 50,000 USD",Bought In
Lucy Bull Title Untitled Description DETAILSLUCY BULL,Untitled,oil on linen,2020,12,9,30.5,22.8,Christie's Hong Kong,"Wednesday, November 29, 2023",00301,"200,000 - 400,000 HKD (25,622 - 51,245 USD)","478,800 HKD"
Lucy Bull Title Snail Effects Description DETAILSLUCY BULL,Snail Effects,oil on canvas,2020,36,48,91.5,122,Christie's Hong Kong,"Tuesday, November 28, 2023",00086,"2,800,000 - 3,800,000 HKD (359,094 - 487,341 USD)","7,308,000 HKD (937,235 USD)"
Lucy Bull Title Back to Nerve Description Lucy Bullb,Back to Nerve,oil on linen,2019,50,33,127,83.8,Sotheby's New York,"Thursday, November 16, 2023",00503,"300,000 - 500,000 USD","533,400 USD"
Lucy Bull Title Untitled,Untitled (LB 129),oil on linen,2019,12,6,30.5,15.2,Phillips New York,"Wednesday, November 15, 2023",00352,"15,000 - 20,000 USD","31,750 USD"
Lucy Bull Title Dark companion Description Lucy BullDark companionsigned and dated,Dark companion,oil on canvas,2020,60,30,152.4,76.2,Phillips New York,"Tuesday, November 14, 2023",00032,"400,000 - 600,000 USD","1,041,400 USD"
Lucy Bull Title Untitled Description LUCY BULL,Untitled,oil on canvas,2017,40,30.1,101.6,76.5,Christie's London,"Saturday, October 14, 2023",00111,"50,000 - 70,000 GBP (60,628 - 84,879 USD)","63,000 GBP (76,391 USD)"
Lucy Bull Title Flash Chamber Description Lucy Bullb,Flash Chamber,oil on canvas,2020,79.1,64,201,162.5,Sotheby's Hong Kong,"Thursday, October 5, 2023",01203,"4,000,000 - 6,000,000 HKD (510,783 - 766,175 USD)","13,760,000 HKD"
Lucy Bull Title Untitled Description Lucy BullUntitledsigned with the artist,Untitled,oil on linen,2019,12,9,30.5,22.9,Phillips New York,"Wednesday, September 27, 2023",00159,"15,000 - 20,000 USD","35,560 USD"
Lucy Bull Title Thin Skin Description LUCY BULL,Thin Skin,oil on linen,2019,70.1,50.2,178,127.5,Christie's Hong Kong,"Sunday, May 28, 2023",00004,"7,000,000 - 12,000,000 HKD (893,632 - 1,531,941 USD)","9,450,000 HKD (1,206,403 USD)"
Lucy Bull Title Untitled Description LUCY BULL,Untitled,oil on canvas,2020,20,10,50.8,25.4,Christie's New York,"Friday, May 12, 2023",00139,"30,000 - 50,000 USD","63,000 USD"
Lucy Bull Title Untitled Description LUCY BULL,Untitled,oil on canvas,2020,15,12,38.1,30.5,Christie's New York,"Friday, May 12, 2023",00138,"30,000 - 50,000 USD","81,900 USD"
Lucy Bull Title The Morning Effect,The Morning Effect 晨朝效應,oil on linen,2019,50,30,127,76.2,Sotheby's Hong Kong,"Wednesday, April 5, 2023",01102,"1,500,000 - 2,500,000 HKD (191,080 - 318,467 USD)","6,604,000 HKD (841,263 USD)"
Lucy Bull Title False Tail Description Lucy BullFalse Tailsigned and dated,False Tail,oil on canvas,2020,48,36,121.9,91.4,Phillips Hong Kong,"Thursday, March 30, 2023",00007,"1,000,000 - 2,000,000 HKD (127,390 - 254,780 USD)","4,826,000 HKD (614,784 USD)"
Lucy Bull Title Untitled Description Lucy BullUntitledsigned with the artist,Untitled,oil on linen,2019,6,12,15.2,30.5,Phillips New York,"Wednesday, March 8, 2023",00037,"15,000 - 20,000 USD","40,640 USD"
Lucy Bull Title Untitled Description Lucy BullUntitledstamped with artist,Untitled,oil on linen,2019,12,6,30.5,15.2,Phillips New York,"Wednesday, March 8, 2023",00036,"15,000 - 20,000 USD","45,720 USD"
Lucy Bull Title Giving Tree Description signed with the artist,Giving Tree,oil on linen,2019,60,48,152.4,122,Phillips Hong Kong,"Thursday, December 1, 2022",00004,"1,000,000 - 1,500,000 HKD (128,571 - 192,856 USD)","4,662,000 HKD (599,398 USD)"
Lucy Bull Title Untitled Description LUCY BULL,Untitled,oil on linen,2020,18,10,45.8,25.5,Christie's Hong Kong,"Thursday, December 1, 2022",00301,"400,000 - 600,000 HKD (51,428 - 77,142 USD)","478,800 HKD (61,559 USD)"
Lucy Bull Title Untitled,Untitled (Phoenix),oil on linen,2019,81,57.1,205.7,145,Christie's Hong Kong,"Wednesday, November 30, 2022",00087,"8,000,000 - 15,000,000 HKD (1,024,984 - 1,921,845 USD)","10,650,000 HKD (1,364,509 USD)"
Lucy Bull Title,1899-12-30T21:43:00.000Z,oil on linen,2020,60,50,152.4,127,Sotheby's New York,"Wednesday, November 16, 2022",00019,"100,000 - 150,000 USD","529,200 USD"
Lucy Bull Title Untitled,Untitled (Green Dot),oil on linen,2019,17,8,43.2,20.3,Phillips New York,"Wednesday, November 16, 2022",00301,"20,000 - 30,000 USD","94,500 USD"
Lucy Bull Title Untitled,Untitled (Green),oil on canvas,2017,50,30,127,76.2,Phillips New York,"Wednesday, November 16, 2022",00314,"60,000 - 80,000 USD","69,300 USD"
Lucy Bull Title Untitled Description PROPERTY FROM A DISTINGUISHED CONTEMPORARY COLLECTIONLucy BullUntitledsigned w Medium oil on linen Year of Work,Untitled,oil on linen,2019,22,72,55.9,182.9,Phillips New York,"Tuesday, November 15, 2022",00027,"100,000 - 150,000 USD","478,800 USD"
Lucy Bull Title Time Beads,Time Beads 時光珠⼦,oil on linen,2019,40,30.1,101.6,76.5,Sotheby's Hong Kong,"Friday, October 7, 2022",01202,"800,000 - 1,200,000 HKD (101,904 - 152,856 USD)","7,560,000 HKD (962,996 USD)"
Lucy Bull Title No More Blue Tomorrows Description LUCY BULL,No More Blue Tomorrows,oil on linen,2018,42,42,106.7,106.7,Christie's London,"Tuesday, June 28, 2022",00026,"60,000 - 80,000 GBP (73,233 - 97,644 USD)","277,200 GBP (338,337 USD)"
Lucy Bull Title,8:50,oil on canvas,2020,36.6,116.7,93,296.5,Phillips Hong Kong,"Wednesday, June 22, 2022",00003,"1,000,000 - 1,500,000 HKD (127,393 - 191,090 USD)","11,382,000 HKD (1,449,991 USD)"
Lucy Bull Title Special Guest Description Lucy Bullb,Special Guest,oil on linen,2019,50,33,127,83.8,Sotheby's New York,"Thursday, May 19, 2022",00005,"60,000 - 80,000 USD","907,200 USD"
Scott Kahn Title Peruvian Pot Description SCOTT KAHN,Peruvian Pot,oil on canvas,2005,16,18,40.6,45.7,Christie's Online,"Wednesday, December 18, 2024",00029,"20,000 - 30,000 USD",Bought In
Scott Kahn Title Portrait of Fred Kirwin Description DETAILSSCOTT KAHN,Portrait of Fred Kirwin,oil on linen,1987,34,30,86.4,76.2,Christie's Hong Kong,"Saturday, November 9, 2024",00126,"400,000 - 600,000 HKD (51,450 - 77,176 USD)",Bought In
Scott Kahn Title Job Description DETAILSSCOTT KAHN,Job,oil on linen,1998,61.8,76.1,157,193.2,Christie's Hong Kong,"Friday, September 27, 2024",00224,"1,000,000 - 2,000,000 HKD (128,655 - 257,310 USD)","2,898,000 HKD (372,843 USD)"
Scott Kahn Title Cedar Lake Description Scott Kahn b,Cedar Lake,oil on linen,1988,38.2,42.1,97,107,Rago / Wright,"Tuesday, September 24, 2024",00106,"200,000 - 300,000 USD","252,000 USD"
Scott Kahn Title Pennsylvania New Jersey Border Description DETAILSSCOTT KAHN,Pennsylvania New Jersey Border,oil on canvas,1993,36.1,40,91.6,101.5,Christie's London,"Thursday, June 27, 2024",00053,"120,000 - 180,000 GBP (151,821 - 227,732 USD)","151,200 GBP (191,295 USD)"
Scott Kahn Title On the Patio Description DETAILSSCOTT KAHN,On the Patio,oil on canvas,1992,34.3,30.1,87,76.5,Christie's London,"Thursday, June 27, 2024",00031,"80,000 - 120,000 GBP (101,214 - 151,821 USD)","138,600 GBP (175,354 USD)"
Scott Kahn Title,在野外的影射 | Reflecting In The Wilderness,oil on linen,2005,40,30,101.6,76.2,"Yongle Auction Co., Ltd.","Saturday, June 22, 2024",08051,"800,000 - 1,200,000 CNY (110,177 - 165,266 USD)","800,000 CNY (110,177 USD)"
Scott Kahn Title April in Old Lyme Description DETAILSSCOTT KAHN,April in Old Lyme,oil on linen,2008,30,36,76.2,91.4,Christie's Hong Kong,"Wednesday, May 29, 2024",00307,"800,000 - 1,200,000 HKD (102,386 - 153,580 USD)","1,890,000 HKD (241,889 USD)"
Scott Kahn Title Tree of Life,Tree of Life | ⽣命之樹,Oil on canvas,2009,31.9,29.9,81,76,"China Guardian (Hong Kong) Auctions Co., Ltd.","Sunday, April 7, 2024",00024,"1,200,000 - 1,800,000 HKD (153,286 - 229,929 USD)","1,440,000 HKD (183,943 USD)"
Scott Kahn Title Peruvian Pot Description LOT,Peruvian Pot,oil on canvas,2005,16,18,40.7,45.8,Bonhams London,"Friday, December 15, 2023",00056,"5,000 - 10,000 GBP (6,354 - 12,708 USD)","17,920 GBP (22,772 USD)"
Scott Kahn Title Full Moon Description DETAILSSCOTT KAHN,Full Moon,oil on canvas,1998,28.5,22.5,72.4,57.2,Christie's Hong Kong,"Tuesday, November 28, 2023",00026,"600,000 - 900,000 HKD (76,948 - 115,423 USD)","2,772,000 HKD (355,503 USD)"
Scott Kahn Title Balcony Pine Run Description LOT,Balcony Pine Run,oil on linen,2002,24,28,61,71.1,Bonhams Hong Kong,"Saturday, November 25, 2023",00002,"800,000 - 1,200,000 HKD (102,657 - 153,986 USD)","1,020,000 HKD (130,888 USD)"
Scott Kahn Title Twilight Description SCOTT KAHN,Twilight,oil on canvas,1982,36.3,36.3,92.1,92.1,Christie's New York,"Friday, November 10, 2023",00228,"150,000 - 250,000 USD","819,000 USD"
Scott Kahn Title The Swimming Pool Description Scott Kahn b,The Swimming Pool,oil on canvas,1988,50,53.9,127,137,Rago / Wright,"Wednesday, November 8, 2023",00108,"200,000 - 300,000 USD","453,600 USD"
Scott Kahn Title Portrait Of Elise Piquet Doll Description,Portrait Of Elise Piquet Doll,oil on canvas,1993,28.3,24,71.8,61,Shannon's,"Thursday, October 26, 2023",00036,,
Fine Art Auction Estimate,,,,,,,,,,,"15,000 - 25,000 USD","18,750 USD"
Scott Kahn Title Coffee Description,Coffee,oil on canvas,1980,40,38,101.6,96.5,Shannon's,"Thursday, October 26, 2023",00032,,
Fine Art Auction Estimate,,,,,,,,,,,"30,000 - 50,000 USD","37,500 USD"
Scott Kahn Title Tea Description,Tea,oil on canvas,1979,38,40,96.5,101.6,Shannon's,"Thursday, October 26, 2023",00033,,
Fine Art Auction Estimate,,,,,,,,,,,"25,000 - 35,000 USD","32,500 USD"
Scott Kahn Title Circular Driveway Description,Circular Driveway,oil on canvas,1983,30,30,76.2,76.2,Shannon's,"Thursday, October 26, 2023",00029,,
Fine Art Auction Estimate,,,,,,,,,,,"50,000 - 75,000 USD","175,000 USD"
Scott Kahn Title Sage Street,"Sage Street, Sag Harbor",oil on canvas,1979,26,31,66,78.7,Shannon's,"Thursday, October 26, 2023",00030,,
Fine Art Auction Estimate,,,,,,,,,,,"40,000 - 60,000 USD","68,750 USD"
Scott Kahn Title Full Moon Over The Channel Description,Full Moon Over The Channel,oil on canvas,2006,20,17,50.8,43.2,Shannon's,"Thursday, October 26, 2023",00031,,
Fine Art Auction Estimate,,,,,,,,,,,"20,000 - 30,000 USD","93,750 USD"
Scott Kahn Title Flowers From The Garden Description,Flowers From The Garden,oil on canvas,1988,16,13,40.6,33,Shannon's,"Thursday, October 26, 2023",00035,,
Fine Art Auction Estimate,,,,,,,,,,,"10,000 - 15,000 USD","28,600 USD"
Scott Kahn Title Portrait Of Claude Fusco Description,Portrait Of Claude Fusco,oil on canvas,1988,20,20,50.8,50.8,Shannon's,"Thursday, October 26, 2023",00034,,
Fine Art Auction Estimate,,,,,,,,,,,"10,000 - 15,000 USD","12,500 USD"
Scott Kahn Title Winter Morning Description SCOTT KAHN,Winter Morning,oil on linen,1992,30,32,76.2,81.3,Christie's London,"Saturday, October 14, 2023",00145,"100,000 - 150,000 GBP (121,256 - 181,884 USD)","302,400 GBP (366,678 USD)"
Scott Kahn Title Spring Path,Spring Path | 春天的⼩徑,Oil on canvas,2016,11.8,8.9,30,22.5,"China Guardian (Hong Kong) Auctions Co., Ltd.","Sunday, October 8, 2023",00058,"250,000 - 450,000 HKD (31,922 - 57,460 USD)","300,000 HKD (38,306 USD)"
Scott Kahn Title Asleep,Asleep 沉睡,oil on linen,1984,41.1,47.2,104.5,120,Sotheby's Hong Kong,"Friday, October 6, 2023",00806,"1,200,000 - 1,800,000 HKD (153,225 - 229,838 USD)",Bought In
Scott Kahn Title View of Shelter Island Sound Description Scott Kahnb,View of Shelter Island Sound,oil on canvas,1979,38,42,96.5,106.7,Sotheby's New York,"Thursday, September 28, 2023",00264,"40,000 - 60,000 USD","88,900 USD"
Scott Kahn Title Still Life with Oranges,"Still Life with Oranges, Geranium, Book",oil on canvas,1986,20,20,50.8,50.8,Phillips New York,"Wednesday, September 27, 2023",00053,"80,000 - 120,000 USD","101,600 USD"
Scott Kahn Title Still Life with Onion and Pitcher Description Scott KahnStill Life with Onion and Pitchersigned and dated,Still Life with Onion and Pitcher,oil on canvas,1991,13.3,14.3,33.7,36.2,Phillips New York,"Wednesday, September 27, 2023",00054,"30,000 - 40,000 USD",Bought In
Scott Kahn Title Ascent Description SCOTT KAHN,Ascent,oil on linen,2019,43.1,38.1,109.5,96.8,Christie's Hong Kong,"Sunday, September 24, 2023",00048,"300,000 - 500,000 HKD (38,361 - 63,936 USD)","604,800 HKD (77,337 USD)"
Scott Kahn Title Sunset Over the Hollow Description SCOTT KAHN,Sunset Over the Hollow,oil on linen,1990,16,20,40.6,50.8,"Christie's Auction (Shanghai) Co., Ltd","Saturday, September 23, 2023",00095,"300,000 - 500,000 CNY (41,205 - 68,676 USD)","1,638,000 CNY (224,984 USD)"
Scott Kahn Title Boat Basin Description Scott Kahnb,Boat Basin,oil on linen,1981,27,33,68.6,83.8,Sotheby's New York,"Wednesday, July 19, 2023",00156,"60,000 - 80,000 USD","44,450 USD"
Scott Kahn Title,在野外的影射,oil on canvas,2020,40,30,101.6,76.2,"Poly International Auction Co., Ltd.","Monday, July 3, 2023",01830,"1,000,000 - 2,000,000 CNY (138,119 - 276,239 USD)",Bought In
Scott Kahn Title Peruvian Pot Description LOT,Peruvian Pot,oil on canvas,2005,16,18,40.7,45.8,Bonhams London,"Thursday, June 29, 2023",00142,"20,000 - 30,000 GBP (25,230 - 37,845 USD)",Bought In
Scott Kahn Title Lynda in Italy Description SCOTT KAHN,Lynda in Italy,oil on linen,1987,48,42.1,122,106.9,Christie's London,"Thursday, June 29, 2023",00174,"70,000 - 100,000 GBP (88,305 - 126,151 USD)","75,600 GBP"
Scott Kahn Title Berkshire Spring Description SCOTT KAHN,Berkshire Spring,oil on linen,2005,44,50,111.7,127,Christie's Hong Kong,"Monday, May 29, 2023",00307,"1,000,000 - 2,000,000 HKD (127,741 - 255,483 USD)","2,268,000 HKD (289,718 USD)"
Scott Kahn Title New Moon Description SCOTT KAHN,New Moon,oil on linen,2013,24,28,60.9,71.1,Christie's Hong Kong,"Monday, May 29, 2023",00308,"800,000 - 1,200,000 HKD (102,193 - 153,289 USD)","3,024,000 HKD (386,290 USD)"
Scott Kahn Title Still Life with Roses and Cards Description Scott KahnStill Life with Roses and Cardssigned and dated,Still Life with Roses and Cards,oil on canvas,1986,25,26,63.5,66,Phillips New York,"Tuesday, May 16, 2023",00373,"100,000 - 150,000 USD","241,300 USD"
Scott Kahn Title Carnations Description SCOTT KAHN,Carnations,oil on canvas,2003,36.1,40.1,91.8,101.9,Christie's New York,"Friday, May 12, 2023",00137,"150,000 - 250,000 USD","378,000 USD"
Scott Kahn Title Queen,Queen's Park 皇后公園,oil on linen,1998,30,36,76.2,91.4,Sotheby's Hong Kong,"Wednesday, April 5, 2023",01125,"1,200,000 - 2,000,000 HKD (152,864 - 254,773 USD)","2,794,000 HKD (355,919 USD)"
Scott Kahn Title Duke,Duke's Mound,oil on linen,1998,16,18,40.6,45.7,Phillips Hong Kong,"Friday, March 31, 2023",00115,"400,000 - 600,000 HKD (50,955 - 76,433 USD)","889,000 HKD"
Scott Kahn Title The Kipling Garden Description Scott KahnThe Kipling Gardensigned and dated,The Kipling Garden,oil on canvas,1991,29.9,31.9,75.9,81,Phillips Hong Kong,"Friday, March 31, 2023",00113,"1,000,000 - 1,500,000 HKD (127,388 - 191,082 USD)","3,048,000 HKD (388,280 USD)"
Scott Kahn Title Market Square,"Market Square, Eynsham",oil on canvas,2005,20,24,50.8,61,Christie's New York,"Friday, March 10, 2023",00213,"80,000 - 120,000 USD","189,000 USD"
Scott Kahn Title Changeable Weather Description Scott KahnChangeable Weathersigned and dated,Changeable Weather,oil on linen,2007,30,36,76.2,91.4,Phillips London,"Friday, March 3, 2023",00133,"70,000 - 90,000 GBP (83,963 - 107,952 USD)","101,600 GBP (121,866 USD)"
Scott Kahn Title Self Portrait as a Tree Description SCOTT KAHN,Self Portrait as a Tree,oil on linen,2007,22.5,18.5,57.2,47,Christie's London,"Wednesday, March 1, 2023",00234,"60,000 - 80,000 GBP (72,210 - 96,281 USD)","81,900 GBP (98,567 USD)"
Scott Kahn Title Autumn Moon Description SCOTT KAHN,Autumn Moon,oil on linen,2014,24.1,28.1,61.3,71.5,Christie's London,"Wednesday, March 1, 2023",00233,"80,000 - 120,000 GBP (96,281 - 144,421 USD)","201,600 GBP (242,628 USD)"
Scott Kahn Title Winter on Wig Hill Description SCOTT KAHN,Winter on Wig Hill,oil on linen,1991,66,78,167.7,198,Christie's London,"Tuesday, February 28, 2023",00025,"300,000 - 500,000 GBP","978,000 GBP (1,182,873 USD)"
